proximityRef;timestamp;proximity;rssi;accuracy
2.0;15:05:01;2;-66;1.47917293745487
2.0;15:05:02;2;-66;1.39652960112582
2.0;15:05:03;2;-65;1.3055544097153
3.0;15:06:07;3;-74;2.95078662042597
3.0;15:06:08;3;-74;2.99092258669058
3.0;15:06:09;3;-74;3.02067352593595
3.0;15:06:10;3;-74;3.04705402546606
3.0;15:06:11;3;-74;3.06947871790427
3.0;15:06:12;3;-73;3.00600646443295
3.0;15:06:13;2;-73;2.95656718914236
3.0;15:06:14;2;-73;2.91806257737664
3.0;15:06:15;3;-73;2.88809641268273
3.0;15:06:16;2;-73;2.86473673799759
3.0;15:06:17;2;-73;2.84780612782841
3.0;15:06:18;2;-75;2.96022421520319
3.0;15:06:19;2;-75;3.04831497764653
3.0;15:06:20;3;-75;3.11766844188575
3.0;15:06:21;3;-75;3.17319184223573
3.0;15:06:22;3;-73;3.12021748242823
3.0;15:06:23;3;-75;3.1671149728419
3.0;15:06:24;3;-72;3.07202174998109
3.0;15:06:25;3;-71;2.94653382242905
3.0;15:06:26;3;-69;2.74493192466615
3.0;15:06:27;3;-69;2.52102338431604
3.0;15:06:28;3;-72;2.50828688703031
3.0;15:06:29;3;-69;2.28452498442256
3.0;15:06:30;3;-69;2.11764250138461
3.0;15:06:31;2;-69;1.99489016863987
3.0;15:06:32;2;-72;2.08760407394612
3.0;15:06:33;2;-69;1.96651368043284
3.0;15:06:34;2;-69;1.88223692477791
3.0;15:06:35;2;-69;1.82718591386616
3.0;15:06:36;2;-70;1.84374617960485
3.0;15:06:37;2;-68;1.73054821518235
3.0;15:06:38;2;-68;1.65287729563845
3.0;15:06:39;2;-68;1.59851237284959
3.0;15:06:40;2;-69;1.61702409924455
3.0;15:06:41;2;-70;1.68573967763174
3.0;15:06:42;2;-70;1.73888970479966
3.0;15:06:43;2;-69;1.71893521054715
3.0;15:06:44;2;-69;1.70475745113481
3.0;15:06:45;2;-69;1.69460201032631
3.0;15:06:46;2;-69;1.68726852705566
3.0;15:06:47;2;-70;1.73530722725419
3.0;15:06:48;2;-70;1.76885720727722
3.0;15:06:49;2;-71;1.83366117495058
3.0;15:06:50;2;-70;1.84416197736223
3.0;15:06:51;2;-70;1.85196967687771
3.0;15:06:52;2;-69;1.82358739051162
3.0;15:06:53;2;-69;1.80158254226532
