rssi;accuracy;proximity
-91;24,00;3
-91;24,05;3
-91;24,27;3
-91;25,05;3
-91;25,46;3
-91;21,37;3
-91;21,70;3
-91;22,09;3
-91;17,70;3
-92;10,32;3
-92;12,77;3
-92;13,19;3
-92;13,56;3
-92;14,10;3
-92;15,99;3
-92;16,31;3
-92;16,62;3
-92;19,15;3
-92;20,91;3
-92;22,51;3
-92;23,24;3
-92;24,52;3
-92;24,83;3
-92;24,82;3
-92;25,15;3
-93;10,70;3
-93;11,08;3
-93;11,46;3
-93;14,44;3
-93;15,67;3
-93;18,59;3
-93;22,03;3
-94;25,40;3
-95;25,12;3
